Reservoir,Date,Elevation,Temp_C,pH,DO_mgL,Turb,Color,Odor,Algae_cells_mL,Fe_mgL,Mn_mgL,Alkalinity,Hardness,CO2,TOC,Notes,Predominant_algae_organism,Reservoir_level,Withdraw_levels,Flag
CCR,10/28/98 11:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No information elevation level for 1160,N/A,N/A,N/A,
CCR,10/28/98 11:30,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No algae cells recorded,N/A,N/A,N/A,
CCR,10/28/98 11:30,1140,15,7.68,9.19,1.99,12,N/A,N/A,0.07,0.07,52,56,3,N/A,No remarks,N/A,N/A,N/A,
CCR,10/28/98 11:30,1130,15,7.7,9.2,2.01,23,N/A,N/A,0.07,0.08,50,58,2.8,N/A,No recorded prominant algae,N/A,N/A,N/A,
CCR,10/28/98 11:30,1120,12.5,7.01,5.52,3.42,46,N/A,N/A,0.29,0.77,48,54,3.8,N/A,No reservoir level recorded,N/A,N/A,N/A,
CCR,10/28/98 11:30,1110,11,6.99,4,3.28,40,N/A,N/A,1.25,0.77,52,58,3.4,N/A,No withdrawal level ,N/A,N/A,N/A,
CCR,10/6/98 10:00,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No reservoir level recorded,Anacystis,N/A,1150 & 1140,
CCR,10/6/98 10:00,1150,19.5,7.5,8.65,1.6,13,67.1,"598,000",0.04,0.02,46,54,3,N/A,No information elevation level for 1160,Navicula,N/A,1150 & 1140,
CCR,10/6/98 10:00,1140,19,7.7,9,1.7,16,66.2,"287,000",0.04,0.03,46,54,2.4,N/A,Additional odor information available for 10/9 and 10/16,Ceratium,N/A,1150 & 1140,
CCR,10/6/98 10:00,1130,19,7.2,4.61,2,17,66.2,"630,000",0.05,0.04,44,54,2.8,N/A,"Light rain, cloudy",Dinobryon ,N/A,1150 & 1140,
CCR,10/6/98 10:00,1120,13,6.8,3.3,3.9,58,55.4,"792,000",0.29,0.61,42,54,3.6,N/A,Green water,Oscillatoria,N/A,1150 & 1140,
CCR,10/6/98 10:00,1110,12.5,7,3.34,3.2,38,54.5,"306,900",0.81,0.77,46,54,4,N/A,Cl2 odor at 1120,Cyclotella,N/A,1150 & 1140,
CCR,9/8/98 9:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Water green,N/A,1161.4,1130 & 1140,
CCR,9/8/98 9:30,1150,24,7.79,7.8,1.35,13,N/A,N/A,0.09,0.03,46,50,4,N/A,Sunny and breezy,N/A,1161.4,1130 & 1140,
CCR,9/8/98 9:30,1140,23.5,7.75,7.87,1.49,5,N/A,N/A,0.02,0.03,46,50,3.4,N/A,No information elevation level for 1160,N/A,1161.4,1130 & 1140,
CCR,9/8/98 9:30,1130,18.5,7.08,3.68,1.89,18,N/A,N/A,0.08,0.07,46,48,4,N/A,No odor information found,N/A,1161.4,1130 & 1140,
CCR,9/8/98 9:30,1120,13,6.79,2.44,3.32,36,N/A,N/A,0.16,0.35,46,50,4,N/A,No algae cells recorded,N/A,1161.4,1130 & 1140,
CCR,9/8/98 9:30,1110,12,6.91,2.47,6.78,61,N/A,N/A,0.52,0.77,46,52,2.6,N/A,No predominant algae recorded ,N/A,1161.4,1130 & 1140,
CCR,8/5/98 8:35,1160,N/A ,N/A ,N/A ,N/A ,N/A ,N/A,N/A ,N/A ,N/A ,N/A,N/A ,N/A ,N/A ,No predominant algae recorded ,N/A,N/A,N/A,
CCR,8/5/98 8:35,1150,26,7.9,9,1,18,N/A,N/A ,0.04,0.02,44,50,1.8,N/A ,No predominant algae recorded ,N/A,N/A,N/A,
CCR,8/5/98 8:35,1140,25,7.8,8.5,1.2,20,N/A,N/A ,0.05,0.02,44,50,3.2,N/A ,No information elevation level for 1160,N/A,N/A,N/A,
CCR,8/5/98 8:35,1130,16,7.2,4.7,2,33,N/A,N/A ,0.08,0.17,38,47,2.2,N/A ,"H2O was brown/green, lightly opaque",N/A,N/A,N/A,
CCR,8/5/98 8:35,1120,13,7,3.3,1.9,31,N/A,N/A ,0.09,0.13,39,48,2,N/A ,Slightly breezy,N/A,N/A,N/A,
CCR,8/5/98 8:35,1110,13,7.1,2.4,2.3,35,N/A,N/A ,0.11,0.31,42,50,2,N/A ,No reservoir level or withdrawal level recorded or algae,N/A,N/A,N/A,
CCR,7/24/98 9:15,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Green, turbid and unclean",Anacystis,N/A,1140 & 1150,
CCR,7/24/98 9:15,1150,28,7.8,8.4,1,21,N/A,N/A,0.04,0.02,40,46,6.6,N/A,No information elevation level for 1160,Fragillaria,N/A,1140 & 1150,
CCR,7/24/98 9:15,1140,26,7.7,9.7,1.5,24,N/A,N/A,0.06,0.02,40,48,7.7,N/A,No reservoir level,Syendra,N/A,1140 & 1150,
CCR,7/24/98 9:15,1130,17,7.2,5.6,1.7,36,N/A,N/A,0.07,0.08,37,46,7,N/A,No algae cells recorded,Ulothrix,N/A,1140 & 1150,
CCR,7/24/98 9:15,1120,15,7.2,4.1,1.8,31,N/A,N/A,0.08,0.13,40,46,6.4,N/A,No odor recorded,Dinobryon and Mallomonas,N/A,1140 & 1150,
CCR,7/24/98 9:15,1110,15,7.2,3.2,3.2,50,N/A,N/A,0.21,0.59,44,49,7,N/A,,Ceratium and Rotifer,N/A,1140 & 1150,
CCR,7/8/98 10:00,1160,26.5,7.8,8.5,1.1,16,79.7,N/A,0.05,0.02,37,43,5.4,N/A,"Cloudy, light rain",Anacystis,1167,1130 & 1150,
CCR,7/8/98 10:00,1150,26.5,7.9,8.1,1,16,79.7,N/A,0.05,0.02,39,44,6.4,N/A,No odor for 1140,Fragillaria,1167,1130 & 1150,
CCR,7/8/98 10:00,1140,24.5,7.6,9.3,1.4,22,N/A,N/A,0.05,0.02,39,44,6.2,N/A,No algae cells recorded,Ceratium,1167,1130 & 1150,
CCR,7/8/98 10:00,1130,16,7.2,6.6,1.6,21,60.8,N/A,0.05,0.05,40,45,5.8,N/A,Assumed numbers on the side were for odor,Dinobryon,1167,1130 & 1150,
CCR,7/8/98 10:00,1120,14,7,4.4,1.6,21,57.2,N/A,0.05,0.09,42,46,5.8,N/A,N/A,Asterionella,1167,1130 & 1150,
CCR,7/8/98 10:00,1110,13,7,3.8,2.1,27,55.4,N/A,0.11,0.28,40,47,5.2,N/A,N/A,N/A,1167,1130 & 1150,
CCR,6/3/98 9:10,1160,23.8,7.8,8.17,1.7,23,N/A,N/A,0.06,0.02,34,38,6.8,N/A,"Sunny, breezy",N/A,1169.1,1130 & 1150 ,
CCR,6/3/98 9:10,1150,23.5,7.8,8.27,1.7,27,N/A,N/A,0.07,0.02,37,36,7,N/A,Water green,N/A,1169.1,1130 & 1150 ,
CCR,6/3/98 9:10,1140,14.8,7.3,6.82,2.2,26,N/A,N/A,0.07,0.02,39,40,7.2,N/A,No odor,N/A,1169.1,1130 & 1150 ,
CCR,6/3/98 9:10,1130,6,7.3,6.3,2.1,26,N/A,N/A,0.07,0.04,40,42,7.8,N/A,No algae cells recorded,N/A,1169.1,1130 & 1150 ,
CCR,6/3/98 9:10,1120,4,7.4,6.1,1.9,26,N/A,N/A,0.08,0.04,42,42,8.2,N/A,Raw odor note on the side,N/A,1169.1,1130 & 1150 ,
CCR,6/3/98 9:10,1110,5,7.3,5.89,2.3,34,N/A,N/A,0.11,0.07,42,40,7.8,N/A,No recorded prominant algae,N/A,1169.1,1130 & 1150 ,
CCR,5/1/98 9:30,1160,14.6,7.9,12.3,2.9,38,N/A,N/A,0.07,0.03,40,40,5.6,N/A,"Rain, cool",N/A,Full,1140 & 1150,
CCR,5/1/98 9:30,1150,13.6,7.8,10.4,3.3,44,N/A,N/A,0.07,0.03,34,42,5.4,N/A,H2O Brown w/ pollen fills,N/A,Full,1140 & 1150,
CCR,5/1/98 9:30,1140,12.8,7.6,10.7,3.4,48,N/A,N/A,0.09,0.03,40,40,5.2,N/A,No prominant algae recorded,N/A,Full,1140 & 1150,
CCR,5/1/98 9:30,1130,9.5,7.3,10,2.6,37,N/A,N/A,0.08,0.03,42,44,4.6,N/A,No algae cells recorded,N/A,Full,1140 & 1150,
CCR,5/1/98 9:30,1120,9.2,7.5,10.5,3.2,45,N/A,N/A,0.1,0.04,40,44,N/A,N/A,No odor recorded,N/A,Full,1140 & 1150,
CCR,5/1/98 9:30,1110,9.2,7.3,8.6,3,42,N/A,N/A,0.11,0.09,40,48,N/A,N/A,No CO2 for 1120 and 1110,N/A,Full,1140 & 1150,
CCR,4/8/98 9:30,1160,11.8,7.9,10.92,2.4,37,N/A,N/A,0.07,0.03,46,44,4.4,N/A,"Water clean, dark green",N/A,Full,"1130, 1140, 1150",
CCR,4/8/98 9:30,1150,11.5,7.8,11.5,3.1,40,N/A,N/A,0.08,0.03,45,44,4,N/A,"Weather cloudy, cool, clean",N/A,Full,"1130, 1140, 1150",
CCR,4/8/98 9:30,1140,10,7.7,10.25,3.3,44,N/A,N/A,0.09,0.03,44,46,4,N/A,No odor for each elevation,N/A,Full,"1130, 1140, 1150",
CCR,4/8/98 9:30,1130,8,7.6,10.81,3.4,45,N/A,N/A,0.09,0.04,46,46,3.4,N/A,No algae cells recorded,N/A,Full,"1130, 1140, 1150",
CCR,4/8/98 9:30,1120,7.2,7.6,9.55,3.7,46,N/A,N/A,0.1,0.05,48,46,3.4,N/A,,N/A,Full,"1130, 1140, 1150",
CCR,4/8/98 9:30,1110,7,7.7,9.3,3.7,45,N/A,N/A,0.11,0.07,46,48,3.6,N/A,,N/A,Full,"1130, 1140, 1150",
CCR,3/25/98 9:45,1160,6,7.7,11.1,4.7,52,N/A,N/A,0.11,0.04,42,46,2.8,N/A,H2O Dark Green/Calm,N/A,Full,N/A,
CCR,3/25/98 9:45,1150,5.8,7.7,11.1,4.3,53,N/A,N/A,0.11,0.04,42,48,2.6,N/A,"Weather - Cloudy, balmy, and warm",N/A,Full,N/A,
CCR,3/25/98 9:45,1140,5.2,7.5,11.1,4.1,53,N/A,N/A,0.11,0.04,44,48,3.8,N/A,No withdrawal,N/A,Full,N/A,
CCR,3/25/98 9:45,1130,5.5,7.7,11.7,3.9,42,N/A,N/A,0.09,0.04,46,48,2.4,N/A,No prominant algae recorded,N/A,Full,N/A,
CCR,3/25/98 9:45,1120,5.8,7.7,10.3,4.1,53,N/A,N/A,0.11,0.05,48,48,3.6,N/A,No odor recorded for the elevations ,N/A,Full,N/A,
CCR,3/25/98 9:45,1110,5.6,7.6,11.4,4.1,50,N/A,N/A,0.12,0.07,48,50,3,N/A,No algae cell count recorded,N/A,Full,N/A,
CCR,2/25/98 8:50,1160,6,7.9,11.41,5.7,60,N/A,N/A,0.11,0.04,56,56,4.2,N/A,"Very windy, sunny, cold",N/A,Overflowing,1140 & 1130 & 1150,
CCR,2/25/98 8:50,1150,6,8,11.25,5.5,60,N/A,N/A,0.12,0.04,56,56,5.2,N/A,Water brown/green,N/A,Overflowing,1140 & 1130 & 1150,
CCR,2/25/98 8:50,1140,6,8,11.26,5.5,60,N/A,N/A,0.11,0.04,56,56,5.4,N/A,No odor recorded for the elevations ,N/A,Overflowing,1140 & 1130 & 1150,
CCR,2/25/98 8:50,1130,6,8,11.47,5.5,56,N/A,N/A,0.11,0.04,55,56,4.6,N/A,No prominant algae recorded,N/A,Overflowing,1140 & 1130 & 1150,
CCR,2/25/98 8:50,1120,6,8,11.16,5.4,61,N/A,N/A,0.12,0.04,56,56,4.8,N/A,No algae cell count recorded,N/A,Overflowing,1140 & 1130 & 1150,
CCR,2/25/98 8:50,1110,6,8,11.45,8.3,68,N/A,N/A,0.15,0.05,54,58,4.4,N/A,,N/A,Overflowing,1140 & 1130 & 1150,
CCR,1/21/98 13:20,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"H2O - Yellow/Green, Weather - Cool and Calm",N/A,N/A,N/A,
CCR,1/21/98 13:20,1150,5,7.7,10.7,14,116,N/A,N/A,0.28,0.07,52,56,1.2,N/A,No algal cells or predominant algae recorded,N/A,N/A,N/A,
CCR,1/21/98 13:20,1140,4.5,7.7,11.2,13.9,117,N/A,N/A,0.29,0.07,54,58,1.2,N/A,No withdrawal or reservoir level,N/A,N/A,N/A,
CCR,1/21/98 13:20,1130,4.5,7.7,11.65,14.1,129,N/A,N/A,0.29,0.07,52,58,1,N/A,No information for level 1160,N/A,N/A,N/A,
CCR,1/21/98 13:20,1120,4.5,7.6,11.26,14.2,127,N/A,N/A,0.29,0.07,54,58,1,N/A,No odor recorded,N/A,N/A,N/A,
CCR,1/21/98 13:20,1110,5,7.7,11.17,16.7,144,N/A,N/A,0.33,0.09,62,70,1,N/A,Two temperatures recorded for elevation levels 1150 and 1140,N/A,N/A,N/A,
CCR,1/9/98 9:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"H2O - Muddy, Weather - Sunny, Windy, and Cool",N/A,11.8,N/A,
CCR,1/9/98 9:30,1150,6.5,7.6,11,10.1,109,N/A,N/A,0.3,0.07,46,48,5,N/A,No Withdrawal level recorded ,N/A,11.8,N/A,
CCR,1/9/98 9:30,1140,7,7.6,11.2,6.5,97,N/A,N/A,0.24,0.06,52,56,4.4,N/A,No information for level 1160,N/A,11.8,N/A,
CCR,1/9/98 9:30,1130,7,7.7,11.3,3.5,54,N/A,N/A,0.16,0.06,52,56,4,N/A,No predominant algae recorded,N/A,11.8,N/A,
CCR,1/9/98 9:30,1120,7,7.6,12.5,3.4,47,N/A,N/A,0.15,0.06,52,56,3.8,N/A,No odor or algal cells recorded,N/A,11.8,N/A,
CCR,1/9/98 9:30,1110,6.5,7.6,12.5,3.9,46,N/A,N/A,0.15,0.07,56,54,3,N/A,Odor note on the bottom,N/A,11.8,N/A,
CCR,11/10/97 9:55,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sunny, cold, windy",N/A,12 1/2,1140 & 1150,
CCR,11/10/97 9:55,1150,10,7.5,9.1,2.7,40,N/A,N/A,0.17,0.25,52,52,2.2,N/A,No algal cell count recorded,N/A,12 1/2,1140 & 1150,
CCR,11/10/97 9:55,1140,10,7.5,8.5,1.9,32,N/A,N/A,0.12,0.2,56,54,2.4,N/A,No predominant algae recorded,N/A,12 1/2,1140 & 1150,
CCR,11/10/97 9:55,1130,9.3,7.5,8.4,2,41,N/A,N/A,0.14,0.2,52,52,2.6,N/A,No information for level 1160,N/A,12 1/2,1140 & 1150,
CCR,11/10/97 9:55,1120,9.2,7.4,9.2,2.5,45,N/A,N/A,0.19,0.24,56,54,2.6,N/A,No odor recorded,N/A,12 1/2,1140 & 1150,
CCR,11/10/97 9:55,1110,9.2,7.5,6.8,4.6,78,N/A,N/A,0.48,0.42,54,54,2.4,N/A,Two temperatures recorded for elevation levels ,N/A,12 1/2,1140 & 1150,
CCR,11/20/97 12:10,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No information for level 1160,N/A,N/A,"1130, 40, & 50",
CCR,11/20/97 12:10,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39,N/A,N/A,N/A,N/A,No information for any other elevation level except for Mn,N/A,N/A,"1130, 40, & 50",
CCR,11/20/97 12:10,1140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39,N/A,N/A,N/A,N/A,,N/A,N/A,"1130, 40, & 50",
CCR,11/20/97 12:10,1130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39,N/A,N/A,N/A,N/A,,N/A,N/A,"1130, 40, & 50",
CCR,11/20/97 12:10,1120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4,N/A,N/A,N/A,N/A,,N/A,N/A,"1130, 40, & 50",
CCR,11/20/97 12:10,1110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,N/A,N/A,N/A,N/A,,N/A,N/A,"1130, 40, & 50",
CCR,10/15/97 9:20,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Breezy, cool, bottom level - sulfur smell, top - glossy",N/A,10 low 12.44 avg,1140 & 1150,
CCR,10/15/97 9:20,1150,16.5,7.8,10.08,1.4,13,N/A,N/A,0.01,0.03,52,54,4.2,N/A,No information for elevation level 1160 ,N/A,10 low 12.44 avg,1140 & 1150,
CCR,10/15/97 9:20,1140,17,7.9,8.55,1.3,14,N/A,N/A,0.02,0.03,54,52,4.2,N/A,No odor recorded or algal cells recorded,N/A,10 low 12.44 avg,1140 & 1150,
CCR,10/15/97 9:20,1130,16.5,7.9,11.05,1.4,21,N/A,N/A,0.03,0.03,55,52,4,N/A,One odor note at the bottom,N/A,10 low 12.44 avg,1140 & 1150,
CCR,10/15/97 9:20,1120,12,7.2,3.45,2.4,40,N/A,N/A,0.42,0.78,56,52,4.4,N/A,Two temperature values recorded,N/A,10 low 12.44 avg,1140 & 1150,
CCR,10/15/97 9:20,1110,11,7.1,3.3,4.5,80,N/A,N/A,1.58,1.04,62,56,4.4,N/A,Two reservoir levels noted,N/A,10 low 12.44 avg,1140 & 1150,
CCR,9/26/97 9:10,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sunny & mild,N/A,8 low,1140 & 1150,
CCR,9/26/97 9:10,1150,20,7.9,9,1.3,18,N/A,N/A,0.05,0.03,54,48,4.6,N/A,Green/Brown water,N/A,8 low,1140 & 1150,
CCR,9/26/97 9:10,1140,20,7.8,7.8,1.29,25,N/A,N/A,0.06,0.04,50,48,5,N/A,Two temperature values recorded,N/A,8 low,1140 & 1150,
CCR,9/26/97 9:10,1130,15.5,7.1,2,2.6,39,N/A,N/A,0.2,0.88,50,50,4.4,N/A,No information for elevation level 1160 ,N/A,8 low,1140 & 1150,
CCR,9/26/97 9:10,1120,13,7,1.6,3,51,N/A,N/A,1,0.68,52,50,5,N/A,No algal cells or odor recorded,N/A,8 low,1140 & 1150,
CCR,9/26/97 9:10,1110,12,7,1.4,5.3,90,N/A,N/A,1.63,1.1,54,50,4,N/A,Note on the bottom about odor,N/A,8 low,1140 & 1150,
CCR,9/11/97 9:15,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Weather - Cloudy 65,N/A,7 1/2 low,30 & 40 ,
CCR,9/11/97 9:15,1150,22,7.9,9.5,1.2,13,N/A,N/A,0.03,0.03,52,54,3.8,N/A,No predominany algae recorded,N/A,7 1/2 low,30 & 40 ,
CCR,9/11/97 9:15,1140,22,7.9,8.1,1.2,13,N/A,N/A,0.03,0.02,52,52,4.2,N/A,No algal cells recorded,N/A,7 1/2 low,30 & 40 ,
CCR,9/11/97 9:15,1130,15,7.1,3.8,2.1,43,N/A,N/A,0.28,0.53,52,52,4.6,N/A,No ordor recorded,N/A,7 1/2 low,30 & 40 ,
CCR,9/11/97 9:15,1120,13,7,2.3,2.2,32,N/A,N/A,0.5,0.5,52,54,4.8,N/A,No information for elevation level 1160 ,N/A,7 1/2 low,30 & 40 ,
CCR,9/11/97 9:15,1110,12,7,2.9,2.9,41,N/A,N/A,0.96,0.96,52,54,4.6,N/A,,N/A,7 1/2 low,30 & 40 ,
CCR,8/28/97 9:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No information for elevation level 1160,N/A,6 1/2 low ,N/A,
CCR,8/28/97 9:30,1150,24,8.1,11.9,1.3,5,N/A,N/A,0.03,0.02,54,50,4,N/A,No withdrawal level recorded,N/A,6 1/2 low ,N/A,
CCR,8/28/97 9:30,1140,24,8,12.34,1.6,6,N/A,N/A,0.05,0.02,54,48,4,N/A,No odor recorded,N/A,6 1/2 low ,N/A,
CCR,8/28/97 9:30,1130,16,7.3,3.5,2.9,35,N/A,N/A,0.09,0.28,52,50,4.4,N/A,No predominant algae recorded,N/A,6 1/2 low ,N/A,
CCR,8/28/97 9:30,1120,13,7.2,2.75,2.3,22,N/A,N/A,0.33,0.33,54,50,3.8,N/A,No algal cells recorded,N/A,6 1/2 low ,N/A,
CCR,8/28/97 9:30,1110,12,7.2,2.2,4.2,56,N/A,N/A,0.91,1.08,56,52,4.6,N/A,,N/A,6 1/2 low ,N/A,
CCR,8/15/97 9:50,1160,25.5,7.3,8.7,0.94,7,N/A,N/A,0.03,0.02,50,48,3.8,N/A,"Sunny, warm, humid",N/A,N/A,1130 & 1150,
CCR,8/15/97 9:50,1150,25.5,8.2,9.45,1.1,3,N/A,N/A,0.02,0.02,48,48,4,N/A,*Can't read rest of the notes,N/A,N/A,1130 & 1150,
CCR,8/15/97 9:50,1140,22.8,7.7,11.2,1.46,16,N/A,N/A,0.05,0.03,48,48,3.6,N/A,No odor recorded,N/A,N/A,1130 & 1150,
CCR,8/15/97 9:50,1130,15.5,7.2,2.95,2.46,24,N/A,N/A,0.1,0.18,52,48,4.8,N/A,No reservoir level recorded,N/A,N/A,1130 & 1150,
CCR,8/15/97 9:50,1120,13,7.1,2.78,1.99,15,N/A,N/A,0.21,0.33,50,50,4.8,N/A,No predominant algae recorded,N/A,N/A,1130 & 1150,
CCR,8/15/97 9:50,1110,13,7.1,2.35,3,26,N/A,N/A,0.56,0.85,48,48,4.6,N/A,No algal cells recorded,N/A,N/A,1130 & 1150,
CCR,8/7/97,1160,22.5,8.3,8.75,1,18,8,N/A,0.03,0.02,56,54,6.2,N/A,No algal cells recorded,Fragillaria and Dynobryon,4,30 & 40,
CCR,8/7/97,1150,21.2,8.3,8.21,1.1,17,8,N/A,0.04,0.02,50,50,5.4,N/A,,Synedra and Anabeana,4,30 & 40,
CCR,8/7/97,1140,20.2,8,9.35,1.3,18,8,N/A,0.06,0.02,50,48,5.4,N/A,,Chlorococcum and Ceratium,4,30 & 40,
CCR,8/7/97,1130,15.2,7.1,2.26,2.2,32,8,N/A,0.1,0.11,50,46,6.8,N/A,,Oscillatoria and Scenedesmus,4,30 & 40,
CCR,8/7/97,1120,13.8,7,2.1,1.7,17,8,N/A,0.11,0.18,48,48,5.6,N/A,,Trachelomones and Asterionella,4,30 & 40,
CCR,8/7/97,1110,12,7.1,2.1,2.9,38,8,N/A,0.45,0.85,48,48,4.4,N/A,,Mallamonas,4,30 & 40,
CCR,7/16/97,1160,26.5,8.1,10.86,1.4,20,N/A,"12,800",0.05,0.02,48,48,8.4,N/A,H2O - Dark Green/No odor,Syndera,3,N/A,
CCR,7/16/97,1150,27,8.1,9.91,1.3,25,N/A,"11,900",0.06,0.03,46,48,7,N/A,"Weather - Sunny, hot & humid",Ulothrix,3,N/A,
CCR,7/16/97,1140,20,8.2,15.56,1.8,38,N/A,"18,300",0.11,0.03,44,48,5,N/A,No withdrawal level,,3,N/A,
CCR,7/16/97,1130,17,7.2,5.25,1.5,29,N/A,"98,033",0.07,0.06,48,48,6.2,N/A,No odor recorded,,3,N/A,
CCR,7/16/97,1120,16,7.1,4.86,1.5,29,N/A,"48,583",0.05,0.1,50,54,5.8,N/A,,,3,N/A,
CCR,7/16/97,1110,13,7.1,3.05,2.1,45,N/A,"28,400",0.15,0.66,48,56,5.6,N/A,,,3,N/A,
CCR,6/25/97 9:45,1160,26.5,8.4,9.56,1.5,23,N/A,N/A,0.07,0.03,46,45,2.8,N/A,"Water - dark, murky green",N/A,N/A,1150 & 1140,
CCR,6/25/97 9:45,1150,23.5,8.8,10.49,1.9,38,N/A,N/A,0.08,0.03,46,45,2.6,N/A,"Hazy, hot",N/A,N/A,1150 & 1140,
CCR,6/25/97 9:45,1140,17.5,7.4,7.89,2.7,51,N/A,N/A,0.1,0.04,46,47,2.6,N/A,No odor,N/A,N/A,1150 & 1140,
CCR,6/25/97 9:45,1130,14.5,7.2,5.86,1.6,31,N/A,N/A,0.06,0.05,48,46,2.4,N/A,No algal cells recorded ,N/A,N/A,1150 & 1140,
CCR,6/25/97 9:45,1120,13,7.2,5.68,1.7,34,N/A,N/A,0.07,0.09,50,48,2.6,N/A,No predominant algae recorded,N/A,N/A,1150 & 1140,
CCR,6/25/97 9:45,1110,13,7.2,3.83,2.6,46,N/A,N/A,0.16,0.41,52,50,2.6,N/A,,N/A,N/A,1150 & 1140,
CCR,6/12/97 10:00,1160,18.8,8.7,17.19,2,24,3,N/A,0.06,0.03,48,48,2.8,N/A,Rainy,N/A,Full,N/A,
CCR,6/12/97 10:00,1150,18.4,8.7,18.65,2.1,25,N/A,N/A,0.06,0.03,48,46,2.6,N/A,Water - murky/green,N/A,Full,N/A,
CCR,6/12/97 10:00,1140,16,7.7,15.7,3.8,37,N/A,N/A,0.1,0.03,48,46,2.4,N/A,No algal cells recorded,N/A,Full,N/A,
CCR,6/12/97 10:00,1130,12.8,7.5,12.61,2.3,20,N/A,N/A,0.06,0.05,50,50,2.4,N/A,No withdrawal level recorded,N/A,Full,N/A,
CCR,6/12/97 10:00,1120,11.8,7.3,10.22,2.2,22,N/A,N/A,0.08,0.08,50,48,1.8,N/A,Odor recorded only for elevation level 1160,N/A,Full,N/A,
CCR,6/12/97 10:00,1110,12.5,7.3,7.8,13,79,N/A,N/A,0.48,0.4,52,50,2.4,N/A,Two temperatures are recorded,N/A,Full,N/A,
CCR,5/14/97 21:35,1160,13.8,7.9,12.6,1.8,25,N/A,N/A,0.04,0.03,46,48,2.2,N/A,Sunny ,N/A,1-1 1/2 Low,N/A,
CCR,5/14/97 21:35,1150,13.8,8.2,11.5,2.1,23,N/A,N/A,0.04,0.03,48,48,2.2,N/A,Water - murky green/fishy odor,N/A,1-1 1/2 Low,N/A,
CCR,5/14/97 21:35,1140,12.5,7.8,10.4,2.2,30,N/A,N/A,0.05,0.03,48,48,2,N/A,No odor recorded for elevation levels,N/A,1-1 1/2 Low,N/A,
CCR,5/14/97 21:35,1130,11.5,7.5,9.7,1.8,28,N/A,N/A,0.06,0.03,48,50,2.4,N/A,No algal cells recorded,N/A,1-1 1/2 Low,N/A,
CCR,5/14/97 21:35,1120,11.2,7.4,8.4,1.9,28,N/A,N/A,0.06,0.05,46,48,1.8,N/A,No withdrawal level recorded,N/A,1-1 1/2 Low,N/A,
CCR,5/14/97 21:35,1110,9.3,7.3,7.4,7.2,92,N/A,N/A,0.41,0.33,48,50,2,N/A,No predominant algae recorded,N/A,1-1 1/2 Low,N/A,
CCR,4/10/97 9:45,1160,9.1,8,13.43,2.5,28,N/A,N/A,0.09,0.03,52,50,1.2,N/A,"Breezy, cool, sunny; Water - dark green",N/A,N/A,N/A,
CCR,4/10/97 9:45,1150,8.8,8,12.52,2.5,38,N/A,N/A,0.09,0.03,52,50,1.8,N/A,No odor recorded for elevation levels,N/A,N/A,N/A,
CCR,4/10/97 9:45,1140,8.8,8.1,12.86,2.6,39,N/A,N/A,0.08,0.03,52,50,1.8,N/A,No withdrawal or reservoir levels recorded,N/A,N/A,N/A,
CCR,4/10/97 9:45,1130,7.5,7.9,11.76,2.4,38,N/A,N/A,0.09,0.03,52,50,1.4,N/A,No algal cells recorded,N/A,N/A,N/A,
CCR,4/10/97 9:45,1120,7.2,7.8,11.29,2.6,31,N/A,N/A,0.08,0.04,52,59,1.2,N/A,No predominant algae recorded,N/A,N/A,N/A,
CCR,4/10/97 9:45,1110,6.7,7.8,10.06,5.4,70,N/A,N/A,0.3,0.22,54,52,1.2,N/A,"Two temperatures are recorded, except for 1140",N/A,N/A,N/A,
